Ortho_No	Organism1	LncRNA1	LncRNA_Id1	Organism2	LncRNA2
Ortho51	Human	TCONS_00001984	hsa_TCONS_00001984	Chimp	TCONS_00000955
Ortho52	Human	TCONS_00001987	hsa_TCONS_00001987	Chimp	TCONS_00000959
Ortho53	Human	TCONS_00001987	hsa_TCONS_00001987	Chimp	TCONS_00000960
Ortho54	Human	TCONS_00001988	hsa_TCONS_00001988	Chimp	TCONS_00000959
Ortho55	Human	TCONS_00001988	hsa_TCONS_00001988	Chimp	TCONS_00000960
Ortho56	Human	TCONS_00002162	hsa_TCONS_00002162	Chimp	TCONS_00001044
Ortho57	Human	TCONS_00002185	hsa_TCONS_00002185	Chimp	TCONS_00001439
Ortho58	Human	TCONS_00002185	hsa_TCONS_00002185	Chimp	TCONS_00005053
Ortho59	Human	TCONS_00002185	hsa_TCONS_00002185	Chimp	TCONS_00034917
Ortho60	Human	TCONS_00002185	hsa_TCONS_00002185	Chimp	TCONS_00040846
Ortho61	Human	TCONS_00002219	hsa_TCONS_00002219	Chimp	TCONS_00001080
Ortho62	Human	TCONS_00002220	hsa_TCONS_00002220	Chimp	TCONS_00001080
Ortho63	Human	TCONS_00002284	hsa_TCONS_00002284	Chimp	TCONS_00001111
Ortho64	Human	TCONS_00002301	hsa_TCONS_00002301	Chimp	TCONS_00001117
Ortho65	Human	TCONS_00002355	hsa_TCONS_00002355	Chimp	TCONS_00001143
Ortho66	Human	TCONS_00002355	hsa_TCONS_00002355	Chimp	TCONS_00001144
Ortho67	Human	TCONS_00002592	hsa_TCONS_00002592	Chimp	TCONS_00003907
Ortho68	Human	TCONS_00002593	hsa_TCONS_00002593	Chimp	TCONS_00003907
Ortho69	Human	TCONS_00002602	hsa_TCONS_00002602	Chimp	TCONS_00003900
Ortho70	Human	TCONS_00002602	hsa_TCONS_00002602	Chimp	TCONS_00003901
Ortho71	Human	TCONS_00002603	hsa_TCONS_00002603	Chimp	TCONS_00003900
Ortho72	Human	TCONS_00002603	hsa_TCONS_00002603	Chimp	TCONS_00003901
Ortho73	Human	TCONS_00002647	hsa_TCONS_00002647	Chimp	TCONS_00027350
Ortho74	Human	TCONS_00002669	hsa_TCONS_00002669	Chimp	TCONS_00003867
Ortho75	Human	TCONS_00002743	hsa_TCONS_00002743	Chimp	TCONS_00023398
Ortho76	Human	TCONS_00002865	hsa_TCONS_00002865	Chimp	TCONS_00052471
Ortho77	Human	TCONS_00002907	hsa_TCONS_00002907	Chimp	TCONS_00027456
Ortho78	Human	TCONS_00002921	hsa_TCONS_00002921	Chimp	TCONS_00019910
Ortho79	Human	TCONS_00002921	hsa_TCONS_00002921	Chimp	TCONS_00019911
Ortho80	Human	TCONS_00002921	hsa_TCONS_00002921	Chimp	TCONS_00019912
Ortho81	Human	TCONS_00002921	hsa_TCONS_00002921	Chimp	TCONS_00019913
Ortho82	Human	TCONS_00002921	hsa_TCONS_00002921	Chimp	TCONS_00027473
Ortho83	Human	TCONS_00002921	hsa_TCONS_00002921	Chimp	TCONS_00046764
Ortho84	Human	TCONS_00002921	hsa_TCONS_00002921	Chimp	TCONS_00052459
Ortho85	Human	TCONS_00002923	hsa_TCONS_00002923	Chimp	TCONS_00027510
Ortho86	Human	TCONS_00002942	hsa_TCONS_00002942	Chimp	TCONS_00001266
Ortho87	Human	TCONS_00003029	hsa_TCONS_00003029	Chimp	TCONS_00001439
Ortho88	Human	TCONS_00003029	hsa_TCONS_00003029	Chimp	TCONS_00005053
Ortho89	Human	TCONS_00003031	hsa_TCONS_00003031	Chimp	TCONS_00001439
Ortho90	Human	TCONS_00003031	hsa_TCONS_00003031	Chimp	TCONS_00005053
Ortho91	Human	TCONS_00003032	hsa_TCONS_00003032	Chimp	TCONS_00001439
Ortho92	Human	TCONS_00003032	hsa_TCONS_00003032	Chimp	TCONS_00005053
Ortho93	Human	TCONS_00003098	hsa_TCONS_00003098	Chimp	TCONS_00001470
Ortho94	Human	TCONS_00003127	hsa_TCONS_00003127	Chimp	TCONS_00001487
Ortho95	Human	TCONS_00003131	hsa_TCONS_00003131	Chimp	TCONS_00001498
Ortho96	Human	TCONS_00003131	hsa_TCONS_00003131	Chimp	TCONS_00001499
Ortho97	Human	TCONS_00003188	hsa_TCONS_00003188	Chimp	TCONS_00001533
Ortho98	Human	TCONS_00003227	hsa_TCONS_00003227	Chimp	TCONS_00001553
Ortho99	Human	TCONS_00003230	hsa_TCONS_00003230	Chimp	TCONS_00001553
Ortho100	Human	TCONS_00003231	hsa_TCONS_00003231	Chimp	TCONS_00001553
Ortho101	Human	TCONS_00003614	hsa_TCONS_00003614	Chimp	TCONS_00001745
Ortho102	Human	TCONS_00003689	hsa_TCONS_00003689	Chimp	TCONS_00001775
Ortho103	Human	TCONS_00003702	hsa_TCONS_00003702	Chimp	TCONS_00001781
Ortho104	Human	TCONS_00003703	hsa_TCONS_00003703	Chimp	TCONS_00001781
Ortho105	Human	TCONS_00003749	hsa_TCONS_00003749	Chimp	TCONS_00001809
Ortho106	Human	TCONS_00003853	hsa_TCONS_00003853	Chimp	TCONS_00001867
Ortho107	Human	TCONS_00003853	hsa_TCONS_00003853	Chimp	TCONS_00001868
Ortho108	Human	TCONS_00003982	hsa_TCONS_00003982	Chimp	TCONS_00001940
Ortho109	Human	TCONS_00003983	hsa_TCONS_00003983	Chimp	TCONS_00001940
Ortho110	Human	TCONS_00003984	hsa_TCONS_00003984	Chimp	TCONS_00001940
Ortho111	Human	TCONS_00004023	hsa_TCONS_00004023	Chimp	TCONS_00001956
Ortho112	Human	TCONS_00004024	hsa_TCONS_00004024	Chimp	TCONS_00001958
Ortho113	Human	TCONS_00004025	hsa_TCONS_00004025	Chimp	TCONS_00001958
Ortho114	Human	TCONS_00004035	hsa_TCONS_00004035	Chimp	TCONS_00001962
Ortho115	Human	TCONS_00004035	hsa_TCONS_00004035	Chimp	TCONS_00001964
Ortho116	Human	TCONS_00004035	hsa_TCONS_00004035	Chimp	TCONS_00001965
Ortho117	Human	TCONS_00004055	hsa_TCONS_00004055	Chimp	TCONS_00001974
Ortho118	Human	TCONS_00004092	hsa_TCONS_00004092	Chimp	TCONS_00001992
Ortho119	Human	TCONS_00004190	hsa_TCONS_00004190	Chimp	TCONS_00002042
Ortho120	Human	TCONS_00004404	hsa_TCONS_00004404	Chimp	TCONS_00002154
Ortho121	Human	TCONS_00004446	hsa_TCONS_00004446	Chimp	TCONS_00002179
Ortho122	Human	TCONS_00004524	hsa_TCONS_00004524	Chimp	TCONS_00002234
Ortho123	Human	TCONS_00004589	hsa_TCONS_00004589	Chimp	TCONS_00027526
Ortho124	Human	TCONS_00004589	hsa_TCONS_00004589	Chimp	TCONS_00046204
Ortho125	Human	TCONS_00004589	hsa_TCONS_00004589	Chimp	TCONS_00047657
Ortho126	Human	TCONS_00004590	hsa_TCONS_00004590	Chimp	TCONS_00027528
Ortho127	Human	TCONS_00004597	hsa_TCONS_00004597	Chimp	TCONS_00027526
Ortho128	Human	TCONS_00004597	hsa_TCONS_00004597	Chimp	TCONS_00046204
Ortho129	Human	TCONS_00004597	hsa_TCONS_00004597	Chimp	TCONS_00047657
Ortho130	Human	TCONS_00004845	hsa_TCONS_00004845	Chimp	TCONS_00002413
Ortho131	Human	TCONS_00004889	hsa_TCONS_00004889	Chimp	TCONS_00002432
Ortho132	Human	TCONS_00004916	hsa_TCONS_00004916	Chimp	TCONS_00002448
Ortho133	Human	TCONS_00004917	hsa_TCONS_00004917	Chimp	TCONS_00002450
Ortho134	Human	TCONS_00004998	hsa_TCONS_00004998	Chimp	TCONS_00002497
Ortho135	Human	TCONS_00005005	hsa_TCONS_00005005	Chimp	TCONS_00002502
Ortho136	Human	TCONS_00005006	hsa_TCONS_00005006	Chimp	TCONS_00002502
Ortho137	Human	TCONS_00005096	hsa_TCONS_00005096	Chimp	TCONS_00027598
Ortho138	Human	TCONS_00005474	hsa_TCONS_00005474	Chimp	TCONS_00002737
Ortho139	Human	TCONS_00005533	hsa_TCONS_00005533	Chimp	TCONS_00002760
Ortho140	Human	TCONS_00005562	hsa_TCONS_00005562	Chimp	TCONS_00002775
Ortho141	Human	TCONS_00005569	hsa_TCONS_00005569	Chimp	TCONS_00002779
Ortho142	Human	TCONS_00005721	hsa_TCONS_00005721	Chimp	TCONS_00000307
Ortho143	Human	TCONS_00005755	hsa_TCONS_00005755	Chimp	TCONS_00002847
Ortho144	Human	TCONS_00005761	hsa_TCONS_00005761	Chimp	TCONS_00002847
Ortho145	Human	TCONS_00005840	hsa_TCONS_00005840	Chimp	TCONS_00002891
Ortho146	Human	TCONS_00005841	hsa_TCONS_00005841	Chimp	TCONS_00002891
Ortho147	Human	TCONS_00005868	hsa_TCONS_00005868	Chimp	TCONS_00002903
Ortho148	Human	TCONS_00005907	hsa_TCONS_00005907	Chimp	TCONS_00002924
Ortho149	Human	TCONS_00005952	hsa_TCONS_00005952	Chimp	TCONS_00002948
Ortho150	Human	TCONS_00005953	hsa_TCONS_00005953	Chimp	TCONS_00002948
Ortho151	Human	TCONS_00005954	hsa_TCONS_00005954	Chimp	TCONS_00002948
Ortho152	Human	TCONS_00005984	hsa_TCONS_00005984	Chimp	TCONS_00002966
Ortho153	Human	TCONS_00005984	hsa_TCONS_00005984	Chimp	TCONS_00002967
Ortho154	Human	TCONS_00005985	hsa_TCONS_00005985	Chimp	TCONS_00002966
Ortho155	Human	TCONS_00005985	hsa_TCONS_00005985	Chimp	TCONS_00002967
Ortho156	Human	TCONS_00006054	hsa_TCONS_00006054	Chimp	TCONS_00003009
Ortho157	Human	TCONS_00006054	hsa_TCONS_00006054	Chimp	TCONS_00003010
Ortho158	Human	TCONS_00006057	hsa_TCONS_00006057	Chimp	TCONS_00003015
Ortho159	Human	TCONS_00006058	hsa_TCONS_00006058	Chimp	TCONS_00003013
Ortho160	Human	TCONS_00006058	hsa_TCONS_00006058	Chimp	TCONS_00003015
Ortho161	Human	TCONS_00006059	hsa_TCONS_00006059	Chimp	TCONS_00003012
Ortho162	Human	TCONS_00006059	hsa_TCONS_00006059	Chimp	TCONS_00003013
Ortho163	Human	TCONS_00006059	hsa_TCONS_00006059	Chimp	TCONS_00003015
Ortho164	Human	TCONS_00006060	hsa_TCONS_00006060	Chimp	TCONS_00003014
Ortho165	Human	TCONS_00006061	hsa_TCONS_00006061	Chimp	TCONS_00003013
Ortho166	Human	TCONS_00006061	hsa_TCONS_00006061	Chimp	TCONS_00003015
Ortho167	Human	TCONS_00006062	hsa_TCONS_00006062	Chimp	TCONS_00003013
Ortho168	Human	TCONS_00006062	hsa_TCONS_00006062	Chimp	TCONS_00003015
Ortho169	Human	TCONS_00006063	hsa_TCONS_00006063	Chimp	TCONS_00003012
Ortho170	Human	TCONS_00006063	hsa_TCONS_00006063	Chimp	TCONS_00003013
Ortho171	Human	TCONS_00006063	hsa_TCONS_00006063	Chimp	TCONS_00003015
Ortho172	Human	TCONS_00006065	hsa_TCONS_00006065	Chimp	TCONS_00003012
Ortho173	Human	TCONS_00006065	hsa_TCONS_00006065	Chimp	TCONS_00003013
Ortho174	Human	TCONS_00006065	hsa_TCONS_00006065	Chimp	TCONS_00003015
Ortho175	Human	TCONS_00006066	hsa_TCONS_00006066	Chimp	TCONS_00003013
Ortho176	Human	TCONS_00006066	hsa_TCONS_00006066	Chimp	TCONS_00003015
Ortho177	Human	TCONS_00006416	hsa_TCONS_00006416	Chimp	TCONS_00003168
Ortho178	Human	TCONS_00006513	hsa_TCONS_00006513	Chimp	TCONS_00003223
Ortho179	Human	TCONS_00006575	hsa_TCONS_00006575	Chimp	TCONS_00003257
Ortho180	Human	TCONS_00006581	hsa_TCONS_00006581	Chimp	TCONS_00003260
Ortho181	Human	TCONS_00006581	hsa_TCONS_00006581	Chimp	TCONS_00003261
Ortho182	Human	TCONS_00006763	hsa_TCONS_00006763	Chimp	TCONS_00003367
Ortho183	Human	TCONS_00006764	hsa_TCONS_00006764	Chimp	TCONS_00003367
Ortho184	Human	TCONS_00006876	hsa_TCONS_00006876	Chimp	TCONS_00000850
Ortho185	Human	TCONS_00006882	hsa_TCONS_00006882	Chimp	TCONS_00000850
Ortho186	Human	TCONS_00006948	hsa_TCONS_00006948	Chimp	TCONS_00003465
Ortho187	Human	TCONS_00006949	hsa_TCONS_00006949	Chimp	TCONS_00003465
Ortho188	Human	TCONS_00006953	hsa_TCONS_00006953	Chimp	TCONS_00003466
Ortho189	Human	TCONS_00006962	hsa_TCONS_00006962	Chimp	TCONS_00003470
Ortho190	Human	TCONS_00006975	hsa_TCONS_00006975	Chimp	TCONS_00003478
Ortho191	Human	TCONS_00007022	hsa_TCONS_00007022	Chimp	TCONS_00003499
Ortho192	Human	TCONS_00007025	hsa_TCONS_00007025	Chimp	TCONS_00003503
Ortho193	Human	TCONS_00007061	hsa_TCONS_00007061	Chimp	TCONS_00003524
Ortho194	Human	TCONS_00007096	hsa_TCONS_00007096	Chimp	TCONS_00003539
Ortho195	Human	TCONS_00007101	hsa_TCONS_00007101	Chimp	TCONS_00003545
Ortho196	Human	TCONS_00007234	hsa_TCONS_00007234	Chimp	TCONS_00003618
Ortho197	Human	TCONS_00007235	hsa_TCONS_00007235	Chimp	TCONS_00003619
Ortho198	Human	TCONS_00007236	hsa_TCONS_00007236	Chimp	TCONS_00003619
Ortho199	Human	TCONS_00007275	hsa_TCONS_00007275	Chimp	TCONS_00003632
Ortho200	Human	TCONS_00007275	hsa_TCONS_00007275	Chimp	TCONS_00003633
Ortho201	Human	TCONS_00007278	hsa_TCONS_00007278	Chimp	TCONS_00003635
Ortho202	Human	TCONS_00007282	hsa_TCONS_00007282	Chimp	TCONS_00003639
Ortho203	Human	TCONS_00007283	hsa_TCONS_00007283	Chimp	TCONS_00003639
Ortho204	Human	TCONS_00007284	hsa_TCONS_00007284	Chimp	TCONS_00003639
Ortho205	Human	TCONS_00007285	hsa_TCONS_00007285	Chimp	TCONS_00003641
Ortho206	Human	TCONS_00007286	hsa_TCONS_00007286	Chimp	TCONS_00003641
Ortho207	Human	TCONS_00007340	hsa_TCONS_00007340	Chimp	TCONS_00003669
Ortho208	Human	TCONS_00007385	hsa_TCONS_00007385	Chimp	TCONS_00003684
Ortho209	Human	TCONS_00007509	hsa_TCONS_00007509	Chimp	TCONS_00003747
Ortho210	Human	TCONS_00007605	hsa_TCONS_00007605	Chimp	TCONS_00001356
Ortho211	Human	TCONS_00007684	hsa_TCONS_00007684	Chimp	TCONS_00001322
Ortho212	Human	TCONS_00007684	hsa_TCONS_00007684	Chimp	TCONS_00001323
Ortho213	Human	TCONS_00007685	hsa_TCONS_00007685	Chimp	TCONS_00001322
Ortho214	Human	TCONS_00007685	hsa_TCONS_00007685	Chimp	TCONS_00001323
Ortho215	Human	TCONS_00007686	hsa_TCONS_00007686	Chimp	TCONS_00001322
Ortho216	Human	TCONS_00007686	hsa_TCONS_00007686	Chimp	TCONS_00001323
Ortho217	Human	TCONS_00007687	hsa_TCONS_00007687	Chimp	TCONS_00001322
Ortho218	Human	TCONS_00007687	hsa_TCONS_00007687	Chimp	TCONS_00001323
Ortho219	Human	TCONS_00007688	hsa_TCONS_00007688	Chimp	TCONS_00001324
Ortho220	Human	TCONS_00007735	hsa_TCONS_00007735	Chimp	TCONS_00001292
Ortho221	Human	TCONS_00007786	hsa_TCONS_00007786	Chimp	TCONS_00001278
Ortho222	Human	TCONS_00007815	hsa_TCONS_00007815	Chimp	TCONS_00023398
Ortho223	Human	TCONS_00007822	hsa_TCONS_00007822	Chimp	TCONS_00052538
Ortho224	Human	TCONS_00007859	hsa_TCONS_00007859	Chimp	TCONS_00027365
Ortho225	Human	TCONS_00007859	hsa_TCONS_00007859	Chimp	TCONS_00027366
Ortho226	Human	TCONS_00007860	hsa_TCONS_00007860	Chimp	TCONS_00027365
Ortho227	Human	TCONS_00007860	hsa_TCONS_00007860	Chimp	TCONS_00027366
Ortho228	Human	TCONS_00007891	hsa_TCONS_00007891	Chimp	TCONS_00027365
Ortho229	Human	TCONS_00007891	hsa_TCONS_00007891	Chimp	TCONS_00027366
Ortho230	Human	TCONS_00007892	hsa_TCONS_00007892	Chimp	TCONS_00027365
Ortho231	Human	TCONS_00007892	hsa_TCONS_00007892	Chimp	TCONS_00027366
Ortho232	Human	TCONS_00007893	hsa_TCONS_00007893	Chimp	TCONS_00027365
Ortho233	Human	TCONS_00007893	hsa_TCONS_00007893	Chimp	TCONS_00027366
Ortho234	Human	TCONS_00007894	hsa_TCONS_00007894	Chimp	TCONS_00027365
Ortho235	Human	TCONS_00007896	hsa_TCONS_00007896	Chimp	TCONS_00027365
Ortho236	Human	TCONS_00007896	hsa_TCONS_00007896	Chimp	TCONS_00027366
Ortho237	Human	TCONS_00007923	hsa_TCONS_00007923	Chimp	TCONS_00001237
Ortho238	Human	TCONS_00007923	hsa_TCONS_00007923	Chimp	TCONS_00001238
Ortho239	Human	TCONS_00007942	hsa_TCONS_00007942	Chimp	TCONS_00001228
Ortho240	Human	TCONS_00007942	hsa_TCONS_00007942	Chimp	TCONS_00001229
Ortho241	Human	TCONS_00007947	hsa_TCONS_00007947	Chimp	TCONS_00001228
Ortho242	Human	TCONS_00007947	hsa_TCONS_00007947	Chimp	TCONS_00001229
Ortho243	Human	TCONS_00007949	hsa_TCONS_00007949	Chimp	TCONS_00001228
Ortho244	Human	TCONS_00007949	hsa_TCONS_00007949	Chimp	TCONS_00001229
Ortho245	Human	TCONS_00007952	hsa_TCONS_00007952	Chimp	TCONS_00027365
Ortho246	Human	TCONS_00007952	hsa_TCONS_00007952	Chimp	TCONS_00027366
Ortho247	Human	TCONS_00007953	hsa_TCONS_00007953	Chimp	TCONS_00027365
Ortho248	Human	TCONS_00007953	hsa_TCONS_00007953	Chimp	TCONS_00027366
Ortho249	Human	TCONS_00007954	hsa_TCONS_00007954	Chimp	TCONS_00027365
Ortho250	Human	TCONS_00007954	hsa_TCONS_00007954	Chimp	TCONS_00027366
Ortho251	Human	TCONS_00007985	hsa_TCONS_00007985	Chimp	TCONS_00001228
Ortho252	Human	TCONS_00007985	hsa_TCONS_00007985	Chimp	TCONS_00001229
Ortho253	Human	TCONS_00007989	hsa_TCONS_00007989	Chimp	TCONS_00001212
Ortho254	Human	TCONS_00007989	hsa_TCONS_00007989	Chimp	TCONS_00003762
Ortho255	Human	TCONS_00007990	hsa_TCONS_00007990	Chimp	TCONS_00001212
Ortho256	Human	TCONS_00007990	hsa_TCONS_00007990	Chimp	TCONS_00003762
Ortho257	Human	TCONS_00007991	hsa_TCONS_00007991	Chimp	TCONS_00001228
Ortho258	Human	TCONS_00007991	hsa_TCONS_00007991	Chimp	TCONS_00001229
Ortho259	Human	TCONS_00008024	hsa_TCONS_00008024	Chimp	TCONS_00019910
Ortho260	Human	TCONS_00008024	hsa_TCONS_00008024	Chimp	TCONS_00019911
Ortho261	Human	TCONS_00008024	hsa_TCONS_00008024	Chimp	TCONS_00019912
Ortho262	Human	TCONS_00008024	hsa_TCONS_00008024	Chimp	TCONS_00019913
Ortho263	Human	TCONS_00008024	hsa_TCONS_00008024	Chimp	TCONS_00027473
Ortho264	Human	TCONS_00008024	hsa_TCONS_00008024	Chimp	TCONS_00046764
Ortho265	Human	TCONS_00008024	hsa_TCONS_00008024	Chimp	TCONS_00052459
Ortho266	Human	TCONS_00008338	hsa_TCONS_00008338	Chimp	TCONS_00004091
Ortho267	Human	TCONS_00008339	hsa_TCONS_00008339	Chimp	TCONS_00004091
Ortho268	Human	TCONS_00008467	hsa_TCONS_00008467	Chimp	TCONS_00005053
Ortho269	Human	TCONS_00008467	hsa_TCONS_00008467	Chimp	TCONS_00023812
Ortho270	Human	TCONS_00008571	hsa_TCONS_00008571	Chimp	TCONS_00004182
Ortho271	Human	TCONS_00008577	hsa_TCONS_00008577	Chimp	TCONS_00004181
Ortho272	Human	TCONS_00008578	hsa_TCONS_00008578	Chimp	TCONS_00004182
Ortho273	Human	TCONS_00008579	hsa_TCONS_00008579	Chimp	TCONS_00004190
Ortho274	Human	TCONS_00008582	hsa_TCONS_00008582	Chimp	TCONS_00004182
Ortho275	Human	TCONS_00008613	hsa_TCONS_00008613	Chimp	TCONS_00004201
Ortho276	Human	TCONS_00008696	hsa_TCONS_00008696	Chimp	TCONS_00004241
Ortho277	Human	TCONS_00008696	hsa_TCONS_00008696	Chimp	TCONS_00004242
Ortho278	Human	TCONS_00008697	hsa_TCONS_00008697	Chimp	TCONS_00004241
Ortho279	Human	TCONS_00008697	hsa_TCONS_00008697	Chimp	TCONS_00004242
Ortho280	Human	TCONS_00008831	hsa_TCONS_00008831	Chimp	TCONS_00004290
Ortho281	Human	TCONS_00008849	hsa_TCONS_00008849	Chimp	TCONS_00004306
Ortho282	Human	TCONS_00008849	hsa_TCONS_00008849	Chimp	TCONS_00004307
Ortho283	Human	TCONS_00008978	hsa_TCONS_00008978	Chimp	TCONS_00004393
Ortho284	Human	TCONS_00008979	hsa_TCONS_00008979	Chimp	TCONS_00004393
Ortho285	Human	TCONS_00009000	hsa_TCONS_00009000	Chimp	TCONS_00042804
Ortho286	Human	TCONS_00009001	hsa_TCONS_00009001	Chimp	TCONS_00004403
Ortho287	Human	TCONS_00009003	hsa_TCONS_00009003	Chimp	TCONS_00042804
Ortho288	Human	TCONS_00009022	hsa_TCONS_00009022	Chimp	TCONS_00004415
Ortho289	Human	TCONS_00009022	hsa_TCONS_00009022	Chimp	TCONS_00004416
Ortho290	Human	TCONS_00009030	hsa_TCONS_00009030	Chimp	TCONS_00004421
Ortho291	Human	TCONS_00009074	hsa_TCONS_00009074	Chimp	TCONS_00004447
Ortho292	Human	TCONS_00009083	hsa_TCONS_00009083	Chimp	TCONS_00001200
Ortho293	Human	TCONS_00009083	hsa_TCONS_00009083	Chimp	TCONS_00031615
Ortho294	Human	TCONS_00009178	hsa_TCONS_00009178	Chimp	TCONS_00004502
Ortho295	Human	TCONS_00009178	hsa_TCONS_00009178	Chimp	TCONS_00004503
Ortho296	Human	TCONS_00009213	hsa_TCONS_00009213	Chimp	TCONS_00004517
Ortho297	Human	TCONS_00009328	hsa_TCONS_00009328	Chimp	TCONS_00004570
Ortho298	Human	TCONS_00009453	hsa_TCONS_00009453	Chimp	TCONS_00004644
Ortho299	Human	TCONS_00009457	hsa_TCONS_00009457	Chimp	TCONS_00004649
Ortho300	Human	TCONS_00009458	hsa_TCONS_00009458	Chimp	TCONS_00004649
Ortho301	Human	TCONS_00009459	hsa_TCONS_00009459	Chimp	TCONS_00004649
Ortho302	Human	TCONS_00009465	hsa_TCONS_00009465	Chimp	TCONS_00004654
Ortho303	Human	TCONS_00009469	hsa_TCONS_00009469	Chimp	TCONS_00004657
Ortho304	Human	TCONS_00009471	hsa_TCONS_00009471	Chimp	TCONS_00004659
Ortho305	Human	TCONS_00009471	hsa_TCONS_00009471	Chimp	TCONS_00004660
Ortho306	Human	TCONS_00009495	hsa_TCONS_00009495	Chimp	TCONS_00004671
Ortho307	Human	TCONS_00009495	hsa_TCONS_00009495	Chimp	TCONS_00004672
Ortho308	Human	TCONS_00009495	hsa_TCONS_00009495	Chimp	TCONS_00004673
Ortho309	Human	TCONS_00009496	hsa_TCONS_00009496	Chimp	TCONS_00004671
